frame,id,center_x,center_y
109,16,188,312
110,16,187,309
111,16,189,307
112,16,191,306
113,16,195,305
114,16,194,305
115,16,193,304
116,16,194,302
117,16,195,300
118,16,195,299
119,16,195,299
120,16,194,298
121,16,195,298
122,16,196,297
123,16,196,296
124,16,196,295
125,16,196,294
126,16,196,293
127,16,196,293
128,16,197,293
129,16,198,293
130,16,198,293
131,16,199,292
132,16,199,292
133,16,199,291
134,16,198,291
135,16,198,291
136,16,198,290
137,16,199,290
138,16,199,289
139,16,199,289
140,16,199,289
141,16,199,289
142,16,199,288
143,16,199,288
144,16,199,288
145,16,199,288
146,16,199,288
147,16,199,288
148,16,199,288
149,16,199,287
150,16,199,287
151,16,199,287
152,16,199,287
153,16,199,287
154,16,199,287
155,16,200,287
156,16,199,287
157,16,199,287
158,16,200,287
159,16,200,287
160,16,200,286
161,16,200,286
162,16,200,286
163,16,200,286
164,16,199,286
165,16,200,286
166,16,199,286
167,16,199,286
168,16,199,286
169,16,200,286
170,16,200,286
171,16,200,286
172,16,200,286
